"Year","Males","Females","CPI"
1997,24.12,20.33,90.8
1998,24.53,19.93,92.1
1999,24.42,20.91,93.5
2000,24.61,22.16,95.8
2001,26.79,23.15,98
2002,27.84,21.11,100
2003,29.2,21.17,102.5
2004,29.31,25.09,104.5
2005,30.64,26.59,106.9
2006,28.31,26.31,108.7
2007,31.16,26.54,110.4
2008,30.74,26.54,112.7
2009,31.43,31.04,113.4
2010,34.37,29.53,114.8
2011,31.94,31.44,118.3
2012,33.51,35.25,120.8
2013,34.68,34.64,121.7
2014,34.99,32.08,123.4
2015,36.7,33.27,124.7
2016,37.83,31.04,125.6
2017,36.7,36.79,126.9
2018,40.44,41.11,129
2019,45.12,39,131.7
